obsid,leadid,ccode,idacr,country,continent,leader,startdate,enddate,entry,exit,exitcode,gender,yrborn
ECU-1988,81f86a18-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ecuador,Americas,Borja Cevallos,1988-08-10,1992-08-10,Regular,Regular,Regular,M,1935
ECU-1992,81f86a19-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ecuador,Americas,Duran Ballen,1992-08-10,1996-08-10,Regular,Regular,Regular,M,1921
ECU-1996,81f86a1a-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ecuador,Americas,Bucaram Ortiz,1996-08-10,1997-02-06,Regular,Regular,Regular,M,1952
ECU-1997-1,81f89af4-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ecuador,Americas,Alarcon Fabian,1997-02-06,1997-02-09,Regular,Regular,Regular,M,1947
ECU-1997-2,81f89af5-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ecuador,Americas,Rosalia Arteaga Serrano,1997-02-09,1997-02-11,Regular,Regular,Regular,F,1956
ECU-1997-3,81f89af4-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ecuador,Americas,Alarcon Fabian,1997-02-11,1998-08-10,Regular,Regular,Regular,M,1947
ECU-1998,81f89af6-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ecuador,Americas,Mahuad,1998-08-10,2000-01-21,Regular,Irregular,"Popular Protest, without Foreign Support",M,1949
ECU-2000,81f89af7-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ecuador,Americas,Gustavo Noboa,2000-01-22,2003-01-15,Irregular,Regular,Regular,M,1937
ECU-2003,81f89af8-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ecuador,Americas,Lucio Gutierrez,2003-01-15,2005-04-20,Regular,Regular,Regular,M,1957
ECU-2005,82508a88-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ecuador,Americas,Alfredo Palacio,2005-04-20,2007-01-15,Regular,Regular,Regular,M,1939
ECU-2007,82508a89-1e42-11e4-b4cd-db5882bf8def,130,ECU,Ecuador,Americas,Rafael Correa,2007-01-15,2017-05-24,Regular,Regular,Regular,M,1963
ECU_2017_1,NA,130,ECU,Ecuador,Americas,Lenín Moreno,2017-05-24,2021-05-24,Regular,Regular,Regular,M,1953
ECU_2021_1,NA,130,ECU,Ecuador,Americas,Guillermo Lasso,2021-05-24,2023-11-23,Regular,Regular,Regular,M,1955
ECU_2023_1,NA,130,ECU,Ecuador,Americas,Daniel Noboa,2023-11-23,2024-07-31,Regular,Still in Office,Still in Office,M,1987
PER-1939,81f9bff0-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Ugarteche,1939-12-08,1945-07-28,Regular,Regular,Regular,M,1889
PER-1945,81f9bff1-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Bustamante,1945-07-28,1948-10-28,Regular,Irregular,"Removed by Military, without Foreign Support",M,1894
PER-1948,81f9f0c0-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Odria,1948-10-29,1950-06-01,Irregular,Regular,Regular,M,1897
PER-1950-1,81f9f0c1-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Noriega,1950-06-01,1950-07-28,Regular,Regular,Regular,M,1900
PER-1950-2,81f9f0c0-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Odria,1950-07-28,1956-07-28,Regular,Regular,Regular,M,1897
PER-1956,81f9bff0-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Ugarteche,1956-07-28,1962-07-19,Regular,Irregular,"Removed by Military, without Foreign Support",M,1889
PER-1962,81f9f0c2-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Perez Godoy,1962-07-19,1963-03-03,Irregular,Irregular,Removed in Military Power Struggle Short of Coup,M,1905
PER-1963-1,81fa2194-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Lindley Lopez,1963-03-03,1963-07-28,Irregular,Regular,Regular,M,1908
PER-1963-2,81fa2195-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Belaunde,1963-07-28,1968-10-03,Regular,Irregular,"Removed by Military, without Foreign Support",M,1913
PER-1968,81fa5268-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Velasco Alvarado,1968-10-03,1975-08-29,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1910
PER-1975,81fa5269-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Morales Bermudez,1975-08-30,1980-07-28,Irregular,Regular,Regular,M,1921
PER-1980,81fa2195-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Belaunde,1980-07-28,1985-07-28,Regular,Regular,Regular,M,1913
PER-1985,81fa8346-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Garcia Perez,1985-07-28,1990-07-28,Regular,Regular,Regular,M,1949
PER-1990,81fa8347-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Fujimori,1990-07-28,2000-11-22,Regular,Regular,Regular,M,1938
PER-2000,81fa8348-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Valentin Paniagua,2000-11-23,2001-07-28,Regular,Regular,Regular,M,1936
PER-2001,81fab41a-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Alejandro Toledo,2001-07-28,2006-07-28,Regular,Regular,Regular,M,1946
PER-2006,81fa8346-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Garcia Perez,2006-07-28,2011-07-28,Regular,Regular,Regular,M,1949
PER-2011,8250bb58-1e42-11e4-b4cd-db5882bf8def,135,PER,Peru,Americas,Ollanta Humala,2011-07-28,2016-07-28,Regular,Regular,Regular,M,1962
PER_2016_1,NA,135,PER,Peru,Americas,Pedro Pablo Kuczynski Godard,2016-07-28,2018-03-23,Regular,Regular,Regular,M,1938
PER_2018_1,NA,135,PER,Peru,Americas,Martin Vizcarra Cornejo,2018-03-23,2020-11-10,Regular,Irregular,Irregular,M,1963
PER_2020_1,NA,135,PER,Peru,Americas,Manuel Arturo Merino de Lama,2020-11-10,2020-11-15,Regular,Irregular,Irregular,M,1961
PER_2020_2,NA,135,PER,Peru,Americas,Francisco Sagasti,2020-11-15,2021-07-28,Regular,Regular,Regular,M,1944
PER_2021_1,NA,135,PER,Peru,Americas,Pedro Castillo,2021-07-28,2022-12-07,Regular,Irregular,Irregular,M,1969
PER_2022_1,NA,135,PER,Peru,Americas,Dina Boluarte,2022-12-07,2024-07-31,Regular,Still in Office,Still in Office,F,1962
BRA-1930,81fba83f-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Vargas,1930-10-25,1945-10-30,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1883
BRA-1945,81fba840-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Linhares,1945-10-30,1946-01-31,Regular,Regular,Regular,M,1886
BRA-1946,81fbd912-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Dutra,1946-01-31,1951-01-31,Regular,Regular,Regular,M,1885
BRA-1951,81fba83f-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Vargas,1951-02-10,1954-08-24,Regular,Irregular,"Removed by Military, without Foreign Support",M,1883
BRA-1954,81fbd913-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Cafe Filho,1954-08-24,1955-11-08,Regular,Retired Due to Ill Health,Regular,M,1899
BRA-1955-1,81fbd914-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Coimbra da Luz,1955-11-08,1955-11-11,Regular,Irregular,"Removed by Military, without Foreign Support",M,1894
BRA-1955-2,81fc09e6-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Oliveria Ramos,1955-11-11,1956-01-31,Regular,Regular,Regular,M,1889
BRA-1956,81fc09e7-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Kubitschek,1956-01-31,1961-01-31,Regular,Regular,Regular,M,1902
BRA-1961-1,81fc09e8-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Quadros,1961-01-31,1961-08-25,Regular,Regular,Regular,M,1917
BRA-1961-2,81fc3aba-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Ranieri Mazzilli,1961-08-25,1961-09-07,Regular,Regular,Regular,M,1910
BRA-1961-3,81fc3abb-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Goulart,1961-09-07,1964-04-02,Regular,Irregular,"Removed by Military, without Foreign Support",M,1918
BRA-1964-1,81fc3aba-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Ranieri Mazzilli,1964-04-02,1964-04-15,Regular,Regular,Regular,M,1910
BRA-1964-2,81fc3abc-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Castello Branco,1964-04-15,1967-03-15,Irregular,Regular,Regular,M,1900
BRA-1967,81fc6b98-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Costa de Silva,1967-03-15,1969-09-01,Regular,Retired Due to Ill Health,Regular,M,1902
BRA-1969-1,81fc6b99-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Military Junta,1969-09-01,1969-10-25,Irregular,Regular,Regular,M,-999
BRA-1969-2,81fc9c6c-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Medici,1969-10-25,1974-03-15,Irregular,Regular,Regular,M,1905
BRA-1974,81fc9c6d-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Geisel,1974-03-15,1979-03-15,Regular,Regular,Regular,M,1907
BRA-1979,81fc9c6e-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Figueiredo,1979-03-15,1985-03-21,Regular,Regular,Regular,M,1918
BRA-1985,81fccd40-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Sarnay,1985-03-21,1990-03-15,Regular,Regular,Regular,M,1930
BRA-1990,81fccd41-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Mello,1990-03-15,1992-10-02,Regular,Regular,Regular,M,1949
BRA-1992,81fccd42-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,"Franco, Itamar",1992-10-02,1994-12-31,Regular,Regular,Regular,M,1930
BRA-1995,81fcfe14-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Cardoso,1995-01-01,2003-01-01,Regular,Regular,Regular,M,1931
BRA-2003,81fcfe15-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Lula da Silva,2003-01-01,2011-01-01,Regular,Regular,Regular,M,1945
BRA-2011,8250bb59-1e42-11e4-b4cd-db5882bf8def,140,BRA,Brazil,Americas,Rousseff,2011-01-01,2016-05-12,Regular,Regular,Regular,F,1947
BRA_2016_1,NA,140,BRA,Brazil,Americas,Michel Temer,2016-05-12,2018-12-31,Regular,Regular,Regular,M,1940
BRA_2018_1,NA,140,BRA,Brazil,Americas,Jair Bolsonaro,2018-12-31,2022-12-31,Regular,Regular,Regular,M,1955
BRA_2022_1,NA,140,BRA,Brazil,Americas,Lula da Silva,2022-12-31,2024-07-31,Regular,Still in Office,Still in Office,M,1945
BOL-1940,81fdc164-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Penaranda,1940-04-15,1943-12-20,Regular,Irregular,"Removed by Military, without Foreign Support",M,1891
BOL-1943,81fdc165-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Villarroel,1943-12-20,1946-07-21,Irregular,Irregular,"Popular Protest, without Foreign Support",M,1908
BOL-1946-1,81fdc166-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Guillen,1946-07-21,1946-08-16,Irregular,Regular,Regular,M,1890
BOL-1946-2,81fdc167-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Gutierrez,1946-08-16,1947-03-10,Regular,Regular,Regular,M,1884
BOL-1947,81fdc168-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Herzog,1947-03-11,1949-05-07,Regular,Retired Due to Ill Health,Regular,M,1896
BOL-1949,81fdc169-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Urriolagoitia,1949-05-07,1951-05-16,Regular,Irregular,"Removed by Military, without Foreign Support",M,1894
BOL-1951,81fdf238-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Ballivian Rojas,1951-05-16,1952-04-11,Irregular,Irregular,"Removed by Rebels, without Foreign Support",M,1902
BOL-1952-1,81fdf239-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Siles Zuazo,1952-04-11,1952-04-16,Irregular,Regular,Regular,M,1914
BOL-1952-2,81fdf23a-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Paz Estenssoro,1952-04-17,1956-06-17,Regular,Regular,Regular,M,1907
BOL-1956,81fdf239-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Siles Zuazo,1956-06-17,1960-08-06,Regular,Regular,Regular,M,1914
BOL-1960,81fdf23a-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Paz Estenssoro,1960-08-06,1964-11-04,Regular,Irregular,"Removed by Military, without Foreign Support",M,1907
BOL-1964,81fdf23b-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Barrientos Ortuna,1964-11-06,1966-01-05,Irregular,Regular,Regular,M,1919
BOL-1966-1,81fdf23c-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Ovando Candia,1966-01-05,1966-08-06,Regular,Regular,Regular,M,1918
BOL-1966-2,81fdf23b-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Barrientos Ortuna,1966-08-06,1969-04-27,Regular,Natural Death,Regular,M,1919
BOL-1969-1,81fdf23d-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Siles Salinas,1969-04-27,1969-09-26,Regular,Irregular,"Removed by Military, without Foreign Support",M,1925
BOL-1969-2,81fdf23c-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Ovando Candia,1969-09-26,1970-10-06,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1918
BOL-1970,81fe230c-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Torres,1970-10-07,1971-08-22,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1921
BOL-1971,81fe230d-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Banzer Suarez,1971-08-22,1978-07-21,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1926
BOL-1978-1,81fe230e-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Pereda Asbun,1978-07-21,1978-11-24,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1932
BOL-1978-2,81fe230f-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Padilla Aranciba,1978-11-24,1979-08-08,Irregular,Regular,Regular,M,1927
BOL-1979-1,81fe2310-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Guevara Arze,1979-08-08,1979-11-01,Regular,Irregular,"Removed by Military, without Foreign Support",M,1911
BOL-1979-2,81fe2311-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Natusch Busch,1979-11-01,1979-11-16,Irregular,Regular,Regular,M,1927
BOL-1979-3,81fe53ea-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Lidia Gueiler Tejada,1979-11-16,1980-07-17,Regular,Irregular,"Removed by Other Government Actors, with Foreign Support",F,1925
BOL-1980,81fe53eb-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Garcia Meza Tejada,1980-07-18,1981-08-04,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1932
BOL-1981,81fe53ec-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Torrelio Villa,1981-08-05,1982-07-19,Irregular,Irregular,Removed in Military Power Struggle Short of Coup,M,1933
BOL-1982-1,81fe53ed-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Vildoso Calderon,1982-07-21,1982-10-10,Irregular,Regular,Regular,M,1937
BOL-1982-2,81fdf239-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Siles Zuazo,1982-10-10,1985-08-06,Irregular,Regular,Regular,M,1914
BOL-1985,81fdf23a-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Paz Estenssoro,1985-08-06,1989-08-06,Regular,Regular,Regular,M,1907
BOL-1989,81fe53ee-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Paz Zamora,1989-08-06,1993-08-06,Regular,Regular,Regular,M,1939
BOL-1993,81fe53ef-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Gonzalo Sanchez de Lozada,1993-08-06,1997-08-06,Regular,Regular,Regular,M,1930
BOL-1997,81fe230d-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Banzer Suarez,1997-08-06,2001-08-07,Regular,Retired Due to Ill Health,Regular,M,1926
BOL-2001,81fe84be-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Jorge Quiroga Ramirez,2001-08-07,2002-08-06,Regular,Regular,Regular,M,1960
BOL-2002,81fe53ef-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Gonzalo Sanchez de Lozada,2002-08-08,2003-10-17,Regular,Regular,Regular,M,1930
BOL-2003,81fe84bf-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Carlos Mesa,2003-10-17,2005-06-09,Regular,Regular,Regular,M,1953
BOL-2005,8250bb5a-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Enrique Rodriguez,2005-06-09,2006-01-22,Regular,Regular,Regular,M,1956
BOL-2006,8250bb5b-1e42-11e4-b4cd-db5882bf8def,145,BOL,Bolivia,Americas,Juan Morales,2006-01-22,2019-11-10,Regular,Irregular,Irregular,M,1959
BOL_2019_1,NA,145,BOL,Bolivia,Americas,Jeanine Anez,2019-11-12,2020-11-08,Regular,Regular,Regular,F,1967
BOL_2020_1,NA,145,BOL,Bolivia,Americas,Luis Arce,2020-11-08,2024-07-31,Regular,Still in Office,Still in Office,M,1963
PAR-1940,0edcc4a0-df39-11e5-ba44-bb6d7c1a9a58,150,PAR,Paraguay,Americas,Higinio Morínigo,1940-09-08,1948-06-03,Regular,Irregular,"Removed by Other Government Actors, without Foreign Support",M,1897
PAR-1948-1,81ff78e5-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Frutos,1948-06-03,1948-08-15,Irregular,Regular,Regular,M,1879
PAR-1948-2,81ff78e6-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Natalicio,1948-08-15,1949-01-30,Regular,Irregular,"Removed by Military, without Foreign Support",M,1897
PAR-1949-1,81ff78e7-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Rolon,1949-01-30,1949-02-26,Irregular,Irregular,"Removed by Other Government Actors, without Foreign Support",M,1903
PAR-1949-2,81ffa9b6-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Molas Lopez,1949-02-26,1949-09-10,Irregular,Irregular,"Removed by Other Government Actors, without Foreign Support",M,1901
PAR-1949-3,81ffa9b7-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Chavez,1949-09-10,1954-05-06,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1882
PAR-1954-1,81ffa9b8-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Pareira,1954-05-06,1954-07-11,Regular,Regular,Regular,M,1886
PAR-1954-2,81ffa9b9-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Stroessner,1954-07-11,1989-02-03,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1912
PAR-1989,81ffa9ba-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Rodriguez Pedotti,1989-02-03,1993-08-15,Irregular,Regular,Regular,M,1924
PAR-1993,81ffa9bb-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Wasmosy Monti,1993-08-15,1998-08-15,Regular,Regular,Regular,M,1938
PAR-1998,81ffda8a-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Cubas Grau,1998-08-15,1999-03-28,Regular,Regular,Regular,M,1943
PAR-1999,81ffda8b-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Gonzalez Macchi,1999-03-28,2003-08-15,Regular,Regular,Regular,M,1947
PAR-2003,81ffda8c-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Nicanor Duarte Frutos,2003-08-15,2008-08-15,Regular,Regular,Regular,M,1956
PAR-2008,8250bb5c-1e42-11e4-b4cd-db5882bf8def,150,PAR,Paraguay,Americas,Fernando Lugo,2008-08-15,2012-06-22,Regular,Regular,Regular,M,1951
PAR-2012,2c772280-3481-11e4-8dba-bbcd9ed46413,150,PAR,Paraguay,Americas,Federico Franco,2012-06-22,2013-08-15,Regular,Regular,Regular,M,1962
PAR-2013,2b37a453-3481-11e4-8dba-bbcd9ed46413,150,PAR,Paraguay,Americas,Horacio Cartes,2013-08-15,2018-08-15,Regular,Regular,Regular,M,1956
PAR_2018_1,NA,150,PAR,Paraguay,Americas,Mario Abdo Benitez,2018-08-15,2023-08-15,Regular,Regular,Regular,M,1971
PAR_2023_1,NA,150,PAR,Paraguay,Americas,Santiago Pena Palacios,2023-08-15,2024-07-31,Regular,Still in Office,Still in Office,M,1978
CHL-1938,8200ff8e-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Aguirre Cerda,1938-12-24,1941-11-25,Regular,Natural Death,Regular,M,1879
CHL-1941,82013060-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Mendez Arancibia,1941-11-25,1942-04-01,Regular,Regular,Regular,M,1884
CHL-1942,82013061-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Rios Morales,1942-04-01,1946-01-17,Regular,Retired Due to Ill Health,Regular,M,1888
CHL-1946-1,82013062-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Duhalde Vasquez,1946-01-17,1946-08-03,Regular,Regular,Regular,M,1888
CHL-1946-2,82016134-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Bielech,1946-08-03,1946-09-06,Regular,Regular,Regular,M,1895
CHL-1946-3,82013062-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Duhalde Vasquez,1946-09-06,1946-10-17,Regular,Regular,Regular,M,1888
CHL-1946-4,82016135-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Iribarren,1946-10-17,1946-11-03,Regular,Regular,Regular,M,1885
CHL-1946-5,82016136-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Gonzalez Videla,1946-11-03,1952-11-03,Regular,Regular,Regular,M,1898
CHL-1952,1974e138-3bbd-11e5-afeb-eb6f07f9fec7,155,CHL,Chile,Americas,Ibanez Campo,1952-11-03,1958-11-03,Regular,Regular,Regular,M,1877
CHL-1958,82019208-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Alessandri Rodriguez,1958-11-03,1964-11-03,Regular,Regular,Regular,M,1896
CHL-1964,82019209-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Frei Montalva,1964-11-03,1970-11-03,Regular,Regular,Regular,M,1911
CHL-1970,8201920a-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Allende,1970-11-04,1973-09-11,Regular,Irregular,"Removed by Military, without Foreign Support",M,1908
CHL-1973,8201c2dc-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Pinochet,1973-09-11,1990-03-11,Irregular,Regular,Regular,M,1915
CHL-1990,8201c2dd-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Aylwin,1990-03-11,1994-03-11,Regular,Regular,Regular,M,1918
CHL-1994,8201c2de-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Frei Ruiz-Tagle,1994-03-11,2000-03-11,Regular,Regular,Regular,M,1942
CHL-2000,8201f3b0-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Ricardo Lagos Escobar,2000-03-12,2006-03-11,Regular,Regular,Regular,M,1928
CHL-2006,8250bb5d-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Michelle Bachelet,2006-03-11,2010-03-11,Regular,Regular,Regular,F,1951
CHL-2010,149e15be-aae0-11e4-b3bc-29f2fa19767e,155,CHL,Chile,Americas,Sebastian Piñera,2010-03-11,2014-03-11,Regular,Regular,Regular,M,1949
CHL-2014,8250bb5d-1e42-11e4-b4cd-db5882bf8def,155,CHL,Chile,Americas,Michelle Bachelet,2014-03-11,2018-03-11,Regular,Regular,Regular,F,1951
CHL_2018_1,NA,155,CHL,Chile,Americas,Sebastian Pinera,2018-03-11,2022-03-11,Regular,Regular,Regular,M,1949
CHL_2022_1,NA,155,CHL,Chile,Americas,Gabriel Boric,2022-03-11,2024-07-31,Regular,Still in Office,Still in Office,M,1986
ARG-1938,8202e7de-1e42-11e4-b4cd-db5882bf8def,160,ARG,Argentina,Americas,Ortiz,1938-02-20,1942-06-22,Regular,Retired Due to Ill Health,Regular,M,1886
ARG-1942,8202e7df-1e42-11e4-b4cd-db5882bf8def,160,ARG,Argentina,Americas,Castillo,1942-06-27,1943-06-05,Regular,Irregular,"Removed by Military, without Foreign Support",M,1873
ARG-1943-1,8202e7e0-1e42-11e4-b4cd-db5882bf8def,160,ARG,Argentina,Americas,Rawson,1943-06-05,1943-06-07,Irregular,Irregular,Removed in Military Power Struggle Short of Coup,M,1885
ARG-1943-2,820318b2-1e42-11e4-b4cd-db5882bf8def,160,ARG,Argentina,Americas,Ramirez,1943-06-07,1944-02-24,Irregular,Regular,Regular,M,1884
ARG-1944,820318b3-1e42-11e4-b4cd-db5882bf8def,160,ARG,Argentina,Americas,Farrell,1944-03-10,1946-06-04,Regular,Regular,Regular,M,1887
ARG-1946,820318b4-1e42-11e4-b4cd-db5882bf8def,160,ARG,Argentina,Americas,Peron,1946-06-04,1955-09-20,Regular,Irregular,"Removed by Military, without Foreign Support",M,1895
ARG-1955-1,820318b5-1e42-11e4-b4cd-db5882bf8def,160,ARG,Argentina,Americas,Lonardi,1955-09-20,1955-11-13,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1896
ARG-1955-2,82034986-1e42-11e4-b4cd-db5882bf8def,160,ARG,Argentina,Americas,Aramburu,1955-11-13,1958-05-01,Irregular,Regular,Regular,M,1903
ARG-1958,82034987-1e42-11e4-b4cd-db5882bf8def,160,ARG,Argentina,Americas,Frondizi,1958-05-01,1962-03-29,Regular,Irregular,"Removed by Military, without Foreign Support",M,1908
ARG-1962,82034988-1e42-11e4-b4cd-db5882bf8def,160,ARG,Argentina,Americas,Guido,1962-03-29,1963-10-12,Regular,Regular,Regular,M,1910
ARG-1963,82037a5a-1e42-11e4-b4cd-db5882bf8def,160,ARG,Argentina,Americas,Arturo Illia,1963-10-12,1966-06-28,Regular,Irregular,"Removed by Military, without Foreign Support",M,1900
